claim_id,transaction_date,accident_date,reported_date,transaction_type,paid_amount,case_reserve,transaction_number,line_of_business,cumulative_paid
1,2020-01-18 00:00:00.000000000,2020-01-01 00:00:00.000000000,2020-01-18 00:00:00.000000000,Initial Reserve,0.0,6182.321145619965,1,Auto,0.0
1,2020-07-25 00:00:00.000000000,2020-01-01 00:00:00.000000000,2020-01-18 00:00:00.000000000,Partial Payment,2200.343431522096,3981.977714097869,2,Auto,2200.343431522096
1,2021-01-30 00:00:00.000000000,2020-01-01 00:00:00.000000000,2020-01-18 00:00:00.000000000,Final Payment,3981.977714097869,0.0,3,Auto,6182.321145619965
2,2020-02-19 08:04:49.447236180,2020-01-08 08:04:49.447236180,2020-02-19 08:04:49.447236180,Initial Reserve,0.0,4991.654901094887,1,Liability,0.0
2,2021-01-04 08:04:49.447236180,2020-01-08 08:04:49.447236180,2020-02-19 08:04:49.447236180,Final Payment,4991.654901094887,0.0,2,Liability,4991.654901094887
3,2020-02-28 16:09:38.894472361,2020-01-15 16:09:38.894472361,2020-02-28 16:09:38.894472361,Initial Reserve,0.0,4257.5951763925,1,Property,0.0
3,2021-04-11 16:09:38.894472361,2020-01-15 16:09:38.894472361,2020-02-28 16:09:38.894472361,Final Payment,4257.5951763925,0.0,2,Property,4257.5951763925
4,2020-02-08 00:14:28.341708542,2020-01-23 00:14:28.341708542,2020-02-08 00:14:28.341708542,Initial Reserve,0.0,3004.6580607873498,1,Property,0.0
4,2020-04-28 12:14:28.341708542,2020-01-23 00:14:28.341708542,2020-02-08 00:14:28.341708542,Partial Payment,1281.4224621524343,1723.2355986349155,2,Property,1281.4224621524343
4,2020-07-18 00:14:28.341708542,2020-01-23 00:14:28.341708542,2020-02-08 00:14:28.341708542,Final Payment,1723.2355986349155,0.0,3,Property,3004.6580607873498
5,2020-08-31 08:19:17.788944723,2020-01-30 08:19:17.788944723,2020-08-31 08:19:17.788944723,Initial Reserve,0.0,4659.98544067695,1,Auto,0.0
5,2021-02-09 20:19:17.788944723,2020-01-30 08:19:17.788944723,2020-08-31 08:19:17.788944723,Partial Payment,2240.4251929982183,2419.5602476787317,2,Auto,2240.4251929982183
5,2021-07-22 08:19:17.788944723,2020-01-30 08:19:17.788944723,2020-08-31 08:19:17.788944723,Final Payment,2419.5602476787317,0.0,3,Auto,4659.98544067695
6,2020-03-30 16:24:07.236180904,2020-02-06 16:24:07.236180904,2020-03-30 16:24:07.236180904,Initial Reserve,0.0,4934.3524929839095,1,Auto,0.0
6,2021-02-26 16:24:07.236180904,2020-02-06 16:24:07.236180904,2020-03-30 16:24:07.236180904,Partial Payment,2075.147613779983,2859.2048792039263,2,Auto,2075.147613779983
6,2022-01-25 16:24:07.236180904,2020-02-06 16:24:07.236180904,2020-03-30 16:24:07.236180904,Final Payment,2859.2048792039263,0.0,3,Auto,4934.3524929839095
7,2020-02-24 00:28:56.683417085,2020-02-14 00:28:56.683417085,2020-02-24 00:28:56.683417085,Initial Reserve,0.0,5633.8708893377225,1,Auto,0.0
7,2020-10-12 08:28:56.683417085,2020-02-14 00:28:56.683417085,2020-02-24 00:28:56.683417085,Partial Payment,2490.987735786652,3142.8831535510703,2,Auto,2490.987735786652
7,2021-05-31 16:28:56.683417085,2020-02-14 00:28:56.683417085,2020-02-24 00:28:56.683417085,Partial Payment,1435.0179576928906,1707.8651958581797,3,Auto,3926.005693479543
7,2022-01-18 00:28:56.683417085,2020-02-14 00:28:56.683417085,2020-02-24 00:28:56.683417085,Final Payment,1707.8651958581797,0.0,4,Auto,5633.8708893377225
8,2020-04-25 08:33:46.130653266,2020-02-21 08:33:46.130653266,2020-04-25 08:33:46.130653266,Initial Reserve,0.0,3306.5373257566293,1,Liability,0.0
8,2021-03-13 20:33:46.130653266,2020-02-21 08:33:46.130653266,2020-04-25 08:33:46.130653266,Partial Payment,1294.8735991825258,2011.6637265741035,2,Liability,1294.8735991825258
8,2022-01-30 08:33:46.130653266,2020-02-21 08:33:46.130653266,2020-04-25 08:33:46.130653266,Final Payment,2011.6637265741035,0.0,3,Liability,3306.5373257566293
9,2020-03-11 16:38:35.577889447,2020-02-28 16:38:35.577889447,2020-03-11 16:38:35.577889447,Initial Reserve,0.0,5395.575128933967,1,Property,0.0
9,2020-10-22 16:38:35.577889447,2020-02-28 16:38:35.577889447,2020-03-11 16:38:35.577889447,Partial Payment,2336.9655694745948,3058.609559459372,2,Property,2336.9655694745948
9,2021-06-04 16:38:35.577889447,2020-02-28 16:38:35.577889447,2020-03-11 16:38:35.577889447,Partial Payment,1811.3686972377006,1247.2408622216715,3,Property,4148.334266712295
9,2022-01-15 16:38:35.577889447,2020-02-28 16:38:35.577889447,2020-03-11 16:38:35.577889447,Final Payment,1247.2408622216715,0.0,4,Property,5395.575128933967
10,2020-05-19 00:43:25.025125628,2020-03-07 00:43:25.025125628,2020-05-19 00:43:25.025125628,Initial Reserve,0.0,9050.216174667334,1,Property,0.0
10,2020-06-10 00:43:25.025125628,2020-03-07 00:43:25.025125628,2020-05-19 00:43:25.025125628,Partial Payment,5895.778224994736,3154.437949672598,2,Property,5895.778224994736
10,2020-07-02 00:43:25.025125628,2020-03-07 00:43:25.025125628,2020-05-19 00:43:25.025125628,Final Payment,3154.437949672598,0.0,3,Property,9050.216174667334
11,2020-06-27 08:48:14.472361809,2020-03-14 08:48:14.472361809,2020-06-27 08:48:14.472361809,Initial Reserve,0.0,4716.939734862667,1,Auto,0.0
11,2021-03-14 08:48:14.472361809,2020-03-14 08:48:14.472361809,2020-06-27 08:48:14.472361809,Final Payment,4716.939734862667,0.0,2,Auto,4716.939734862667
12,2020-04-05 16:53:03.919597990,2020-03-21 16:53:03.919597990,2020-04-05 16:53:03.919597990,Initial Reserve,0.0,6701.612589959016,1,Liability,0.0
12,2020-10-15 16:53:03.919597990,2020-03-21 16:53:03.919597990,2020-04-05 16:53:03.919597990,Partial Payment,4027.4094657783526,2674.2031241806635,2,Liability,4027.4094657783526
12,2021-04-26 16:53:03.919597990,2020-03-21 16:53:03.919597990,2020-04-05 16:53:03.919597990,Partial Payment,1558.5046805309769,1115.6984436496866,3,Liability,5585.914146309329
12,2021-11-05 16:53:03.919597990,2020-03-21 16:53:03.919597990,2020-04-05 16:53:03.919597990,Final Payment,1115.6984436496866,0.0,4,Liability,6701.612589959016
13,2020-06-24 00:57:53.366834170,2020-03-29 00:57:53.366834170,2020-06-24 00:57:53.366834170,Initial Reserve,0.0,7617.304666033455,1,Liability,0.0
13,2020-09-26 08:57:53.366834170,2020-03-29 00:57:53.366834170,2020-06-24 00:57:53.366834170,Partial Payment,2908.422793394703,4708.881872638752,2,Liability,2908.422793394703
13,2020-12-29 16:57:53.366834170,2020-03-29 00:57:53.366834170,2020-06-24 00:57:53.366834170,Partial Payment,2757.641926865707,1951.2399457730448,3,Liability,5666.0647202604105
13,2021-04-03 00:57:53.366834170,2020-03-29 00:57:53.366834170,2020-06-24 00:57:53.366834170,Final Payment,1951.2399457730448,0.0,4,Liability,7617.304666033455
14,2020-05-25 09:02:42.814070351,2020-04-05 09:02:42.814070351,2020-05-25 09:02:42.814070351,Initial Reserve,0.0,4627.473146794574,1,Auto,0.0
