Question Number,Question,Choice A,Choice B,Choice C,Choice D,Choice E
1,"A survey of a group’s viewing habits over the last year revealed the following 
information: 
 
(i) 
28% watched gymnastics 
(ii) 
29% watched baseball 
(iii) 
19% watched soccer 
(iv) 
14% watched gymnastics and baseball 
(v) 
12% watched baseball and soccer 
(vi) 
10% watched gymnastics and soccer 
(vii) 
  8% watched all three sports. 
 
Calculate the percentage of the group that watched none of the three sports during the last 
year.",24%,36%,41%,52%,60%
2,"The probability that a visit to a primary care physician’s (PCP) office results in neither 
lab work nor referral to a specialist is 35%.  Of those coming to a PCP’s office, 30% are 
referred to specialists and 40% require lab work. 
 
Calculate the probability that a visit to a PCP’s office results in both lab work and referral 
to a specialist.",0.05,0.12,0.18,0.25,0.35
3,"You are given 
[
]
0.7
P A
B
∪
=
 and 
[
]
0.9
P A
B′
∪
=
. 
 
 
Calculate P[A].",0.2,0.3,0.4,0.6,0.8
4,"An urn contains 10 balls: 4 red and 6 blue.  A second urn contains 16 red balls and an 
unknown number of blue balls.  A single ball is drawn from each urn.  The probability 
that both balls are the same color is 0.44. 
 
Calculate the number of blue balls in the second urn.",4,20,24,44,64
5,"An auto insurance company has 10,000 policyholders.  Each policyholder is classified as 
 
(i) 
young or old; 
(ii) 
male or female; and 
(iii) 
married or single. 
 
Of these policyholders, 3000 are young, 4600 are male, and 7000 are married.  The 
policyholders can also be classified as 1320 young males, 3010 married males, and 1400 
young married persons.  Finally, 600 of the policyholders are young married males. 
 
 
Calculate the number of the company’s policyholders who are young, female, and single.",280,423,486,880,896
6,"A public health researcher examines the medical records of a group of 937 men who died 
in 1999 and discovers that 210 of the men died from causes related to heart disease.  
Moreover, 312 of the 937 men had at least one parent who suffered from heart disease, 
and, of these 312 men, 102 died from causes related to heart disease. 
 
Calculate the probability that a man randomly selected from this group died of causes 
related to heart disease, given that neither of his parents suffered from heart disease.",0.115,0.173,0.224,0.327,0.514
7,"An insurance company estimates that 40% of policyholders who have only an auto policy 
will renew next year and 60% of policyholders who have only a homeowners policy will 
renew next year.  The company estimates that 80% of policyholders who have both an 
auto policy and a homeowners policy will renew at least one of those policies next year. 
 
 
Company records show that 65% of policyholders have an auto policy, 50% of 
policyholders have a homeowners policy, and 15% of policyholders have both an auto 
policy and a homeowners policy. 
 
Using the company’s estimates, calculate the percentage of policyholders that will renew 
at least one policy next year.",20%,29%,41%,53%,70%
8,"Among a large group of patients recovering from shoulder injuries, it is found that 22% 
visit both a physical therapist and a chiropractor, whereas 12% visit neither of these.  The 
probability that a patient visits a chiropractor exceeds by 0.14 the probability that a 
patient visits a physical therapist. 
 
 
Calculate the probability that a randomly chosen member of this group visits a physical 
therapist.",0.26,0.38,0.40,0.48,0.62
9,"An insurance company examines its pool of auto insurance customers and gathers the 
 
following information: 
 
(i) 
All customers insure at least one car. 
(ii) 
70% of the customers insure more than one car. 
(iii) 
20% of the customers insure a sports car. 
(iv) 
Of those customers who insure more than one car, 15% insure a sports car. 
 
 
Calculate the probability that a randomly selected customer insures exactly one car and 
that car is not a sports car.",0.13,0.21,0.24,0.25,0.30
10,"An actuary studying the insurance preferences of automobile owners makes the following 
conclusions: 
(i) 
An automobile owner is twice as likely to purchase collision coverage as 
disability coverage. 
(ii) 
The event that an automobile owner purchases collision coverage is 
independent of the event that he or she purchases disability coverage. 
(iii) 
The probability that an automobile owner purchases both collision and 
disability coverages is 0.15. 
 
 
Calculate the probability that an automobile owner purchases neither collision nor 
disability coverage.",0.18,0.33,0.48,0.67,0.82
11,"A doctor is studying the relationship between blood pressure and heartbeat abnormalities 
in her patients.  She tests a random sample of her patients and notes their blood pressures 
(high, low, or normal) and their heartbeats (regular or irregular).  She finds that: 
 
(i) 
14% have high blood pressure. 
(ii) 
22% have low blood pressure. 
(iii) 
15% have an irregular heartbeat. 
(iv) 
Of those with an irregular heartbeat, one-third have high blood pressure. 
(v) 
Of those with normal blood pressure, one-eighth have an irregular 
heartbeat. 
 
Calculate the portion of the patients selected who have a regular heartbeat and low blood 
pressure.",2%,5%,8%,9%,20%
