Question Number,Answer
1,D
2,A
3,D
4,A
5,D
6,B
7,D
8,D
9,B
10,B
11,E
12,C
13,A
14,C
15,D
16,D
17,D
18,B
19,D
20,B
21,D
22,D
23,B
24,B
25,C
26,D
27,A
28,C
29,D
30,D
31,D
32,B
33,C
34,B
35,D
36,A
37,E
38,B
39,E
40,D
41,D
42,C
43,D
44,D
45,D
46,E
47,C
48,C
49,A
50,D
51,B
52,C
53,C
54,B
55,E
56,C
57,C
58,A
59,B
60,B
61,C
62,D
63,E
64,A
65,C
66,C
67,B
68,B
69,B
70,B
71,E
72,D
73,C
74,E
75,C
76,B
77,D
78,E
79,E
80,A
81,E
82,C
83,D
84,C
85,C
86,D
87,B
88,B
89,E
90,C
91,B
92,C
93,E
94,D
95,B
96,B
97,C
99,E
100,B
101,A
102,C
103,B
104,B
105,C
107,E
108,C
109,B
110,E
111,C
112,D
113,E
114,D
115,C
116,A
117,B
118,B
119,D
120,A
121,C
122,D
123,D
124,B
125,A
126,E
127,A
128,D
129,C
130,B
131,A
132,B
133,C
134,B
135,C
136,D
137,D
138,E
139,B
140,C
141,C
142,E
143,C
144,C
145,E
146,C
147,C
148,D
149,B
150,E
151,C
152,E
153,C
154,B
155,C
156,C
157,B
158,D
159,B
160,E
161,B
162,A
163,D
164,B
165,D
166,C
167,C
168,B
169,E
170,D
171,C
172,C
173,B
174,A
175,D
176,C
177,B
178,C
179,A
180,A
181,B
182,B
183,D
184,D
185,B
186,D
187,D
188,A
189,B
190,E
191,D
192,A
193,D
194,C
195,C
196,D
197,E
198,E
199,A
200,E
201,B
202,B
203,B
204,D
205,B
206,C
207,B
208,E
209,D
210,B
211,E
212,C
213,D
214,A
215,A
216,B
217,C
218,B
219,A
220,D
221,C
222,B
223,C
224,C
225,E
226,D
227,C
228,C
229,C
230,D
231,A
232,A
233,D
237,A
238,C
239,B
240,D
241,E
242,E
243,B
244,B
245,E
246,C
247,A
248,C
249,B
250,B
251,B
252,C
253,D
254,E
255,B
256,B
257,E
258,C
259,C
260,E
261,C
262,C
263,B
264,C
265,D
266,C
267,D
268,D
269,E
270,C
284,D
285,D
286,E
287,C
288,D
289,A
290,B
291,C
292,B
294,B
295,D
296,A
297,C
298,A
299,C
300,E
301,E
302,A
303,C
304,E
305,B
306,C
307,B
308,D
309,E
310,D
311,C
312,D
313,B
314,B
315,B
316,C
317,B
318,C
319,C
320,A
321,A
322,E
323,C
324,B
325,A
326,B
327,C
328,B
329,C
330,E
331,A
332,B
333,D
334,A
335,E
336,C
337,D
338,B
339,A
340,E
341,B
342,B
343,B
344,B
345,A
346,B
347,D
348,E
349,B
350,B
351,E
352,D
353,B
354,B
355,E
356,C
357,E
358,C
359,E
360,A
361,C
362,E
363,E
364,D
365,E
366,D
367,C
368,C
369,E
370,C
371,C
372,A
373,B
374,B
375,A
376,C
377,C
378,C
379,B
380,B
381,C
382,A
383,D
384,B
385,D
386,D
387,C
388,D
389,D
390,E
391,D
392,E
393,C
394,B
395,D
396,E
397,B
398,E
399,A
400,E
402,A
404,B
405,A
406,E
407,E
408,E
409,A
410,E
411,A
412,D
413,B
414,E
415,B
416,C
417,B
418,C
419,B
420,C
421,C
422,A
424,E
425,B
426,B
427,B
428,B
429,E
430,E
431,D
432,B
433,A
434,D
435,B
436,D
437,D
438,E
439,D
440,E
441,C
442,B
443,E
444,C
445,C
446,A
447,D
448,D
449,E
450,A
451,B
452,D
453,C
454,B
455,D
456,E
457,C
458,C
459,D
460,E
461,B
462,E
463,A
464,A
465,A
466,C
467,B
468,D
469,C
470,C
471,A
473,B
474,C
475,A
476,D
477,B
478,B
479,D
480,C
481,E
482,B
483,A
484,B
485,B
486,B
487,B
488,B
489,C
490,D
491,E
492,C
493,B
494,C
495,B
496,C
497,D
498,C
499,B
500,D
501,E
502,D
503,D
504,A
505,C
506,C
507,E
508,D
509,B
510,C
511,E
512,D
513,D
514,A
515,A
516,C
517,B
518,D
519,C
520,B
521,D
522,A
523,D
524,C
525,B
526,C
527,D
528,A
529,B
530,C
531,D
532,D
533,E
534,C
535,A
536,C
537,C
538,A
539,D
540,B
541,A
542,B
543,B
544,D
545,D
546,D
547,C
548,B
549,D
550,C
551,B
552,B
553,B
554,D
555,C
556,D
557,D
558,B
559,D
560,B
561,E
562,B
563,D
564,A
565,B
566,D
567,A
568,D
569,A
570,C
571,C
572,D
573,A
574,D
576,C
577,A
578,B
579,C
580,E
581,A
582,D
583,C
584,E
585,D
586,C
587,B
588,D
589,B
590,C
591,E
592,C
593,E
594,C
595,D
596,B
597,B
598,A
599,D
600,D
601,C
602,D
603,D
604,A
605,B
606,B
607,B
608,E
609,D
610,C
611,E
612,A
613,D
614,C
615,B
616,C
617,D
618,B
619,E
620,B
621,D
622,E
623,B
624,E
625,E
626,A
627,C
